key,en,status
위치 수신 중…,Acquiring location…,ok
파란 점=내 위치 (정확도 ±{a}m) — 작업자 위치 참고용이며 항공기 위치가 아닙니다,"Blue dot = my location (accuracy ±{a} m). Worker's device position, not the aircraft",ok
현재 위치가 이 도면 범위 밖입니다,Current location is outside this drawing,ok
위치 오류 — 권한을 확인하세요,Location error. Check location permission,ok
절차 {n},Procedure {n},ok
확인 ✓,OK ✓,ok
후방견인 도면 확대 보기,"Pushback drawing, zoom view",ok
후방견인 도면 확대,"Pushback drawing, zoomed",ok
닫기 ✕,Close ✕,ok
맞춤,Fit,ok
두 손가락으로 확대 · 끌어서 이동 · 두 번 탭하면 확대,Pinch to zoom · drag to pan · double-tap to zoom,ok
소리·진동 켜기,Sound and vibration on,ok
소리·진동 끄기,Sound and vibration off,ok
도면에서 현재 위치와 기준경로를 확인하세요,Check your position against the reference path on the drawing,ok
위치를 받지 못했습니다,No location received,ok
위치 권한과 GPS 상태를 확인하세요,Check location permission and GPS status,ok
현재 위치가 이 주기장 도면 범위 밖입니다,Current location is outside this stand's drawing,ok
{n}번 주기장 부근에서 사용하세요,Use near stand {n},ok
경로이탈 {d} m — 기준 {th} m 초과,Route deviation {d} m. Exceeds the {th} m threshold,ok
 (심각), (severe),ok
기준경로 이내 · 이탈 {d} m,Within reference path · deviation {d} m,ok
절차 {p} 기준 · 위치정확도 ±{a} m · 최대 {m} m,Based on procedure {p} · accuracy ±{a} m · max {m} m,ok
 — 작업자 단말 위치이며 항공기 위치가 아닙니다,". Worker's device position, not the aircraft",ok
도면을 불러오지 못했습니다 — 통신 상태 확인 후 다시 열어 주세요,Could not load the drawing. Check your connection and reopen,ok
오프라인 상태 — 이 주기장 도면이 아직 저장되지 않았습니다.<br>통신 가능 지역에서 홈의 <b>[전체 도면 저장]</b>을 한 번 실행하면<br>모든 주기장을 오프라인에서 볼 수 있습니다.,Offline. This stand's drawing is not saved yet.<br>Run <b>[Download all drawings]</b> on the home screen once while connected<br>to view every stand offline.,ok
다시 시도,Retry,ok
이 브라우저에서는 오프라인 저장을 지원하지 않습니다.,This browser does not support offline storage.,ok
저장 엔진 준비 중…,Preparing storage…,ok
저장 기능 준비에 실패했습니다. 잠시 후 다시 눌러 주세요.,Storage setup failed. Please try again shortly.,ok
통신 가능한 곳에서 실행해 주세요.,Please run this where you have a connection.,ok
"전 주기장 도면(약 100MB)을 내려받아 저장합니다.
Wi-Fi 환경을 권장합니다. 계속할까요?","Download and store all stand drawings (about 100 MB).
Wi-Fi recommended. Continue?",ok
저장 {done}/{total},Downloading {done}/{total},ok
{n}개 실패 — 다시 저장,{n} failed. Download again,ok
저장 완료 ✓ 오프라인 가능,Downloaded ✓ available offline,ok
개정됨 · 도면 다시 저장,Updated · download drawings again,ok
저장됨 · 다시 저장,Downloaded · download again,ok
새 버전이 준비되었습니다,A new version is ready,ok
지금 적용,Apply now,ok
