key,gid,title,ko,en,title_en,src,aip,status,note
14:0,14,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face south.,,aip,AMDT 7/26,review,
14:1,14,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다. * 후류 영향이 없도록 Nose Gear가 10번 주기장 뒤에 위치하도록 푸쉬백,The aircraft shall be pushed back onto taxilane R1 to face north until gate 10 to minimize jet blast effect. * The nosewheel comes to rest beyond gate 10.,,aip+tr,AMDT 7/26,review,
14:2,14,Pushback Approved to Spot 53R,항공기 기수방향이 서쪽을 향하게 하고 Spot 53R 까지 후방견인 하여 Nose Gear 및 동체가 A6 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto the spot 53R on A6 to face west.,,aip,AMDT 7/26,review,
15:0,15,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face south.,,aip,AMDT 7/26,review,
15:1,15,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at R1.,,aip,AMDT 7/26,review,
15:2,15,Pushback Approved to Spot 53R,항공기 기수방향이 서쪽을 향하게 하고 Spot 53R 까지 후방견인 하여 Nose Gear 및 동체가 A6 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto the spot 53R on A6 to face west.,,aip,AMDT 7/26,review,
16:0,16,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face south.,,aip,AMDT 7/26,review,
16:1,16,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
16:2,16,Pushback Approved to Spot 53R,항공기 기수방향이 서쪽을 향하게 하고 Spot 53R 까지 후방견인 하여 Nose Gear 및 동체가 A6 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto the spot 53R on A6 to face west.,,aip,AMDT 7/26,review,
17:0,17,Pushback Approved to Face East on R7,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face east.,,aip,AMDT 7/26,review,
17:1,17,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
17:2,17,Pushback Approved to Spot 53R,항공기 기수방향이 서쪽을 향하게 하고 Spot 53R까지 후방견인 하여 Nose Gear 및 동체가 A6 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto the spot 53R on A6 to face west.,,aip,AMDT 7/26,review,
18:0,18,Pushback Approved to Face East,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face east.,,aip,AMDT 7/26,review,
18:1,18,Pushback Approved to Face West,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face west.,,aip,AMDT 7/26,review,
18:2,18,Pushback Approved to Face North on R1 abeam Gate No,항공기 기수방향이 북쪽을 향하게 지시 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along taxilane R1 until the specific gate position.,,aip,AMDT 7/26,review,
19:0,19,Pushback Approved to Face East,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다. * R2가 개방되도록 짧게 푸쉬백,"The aircraft shall be pushed back onto taxilane R7 to face east. * The pushback is kept short, leaving taxilane R2 clear.",,aip+tr,AMDT 7/26,review,
19:1,19,Pushback Approved to Face West,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face west.,,aip,AMDT 7/26,review,
19:2,19,Pushback Approved to Face North on R1 abeam Gate No,항공기 기수방향이 북쪽을 향하게 지시 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along taxilane R1 until the specific gate position.,,aip,AMDT 7/26,review,
19:3,19,Pushback Approved to Point 2,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R2 유도선을 따라 견인하여 Nose Gear를 Point 2에 정대시킨다.,The aircraft shall be pushed back to face north along taxilane R2 until its nosewheel is at spot 2.,,aip,AMDT 7/26,review,
20:0,20,Pushback Approved to Face East,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face east.,,aip,AMDT 7/26,review,
20:1,20,Pushback Approved to Face West,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face west.,,aip,AMDT 7/26,review,
20:2,20,Pushback Approved to Point 2,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R2 유도선을 따라 견인하여 Nose Gear를 Point 2에 정대시킨다.,The aircraft shall be pushed back to face north along taxilane R2 until its nosewheel is at spot 2.,,aip,AMDT 7/26,review,
21:0,21,Pushback Approved to Blue,항공기 기수방향이 북쪽을 향하게 하고 blue Line까지 후방견인하여 Nose Gear가 R2 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at R2.,,aip,AMDT 7/26,review,
21:1,21,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear가 R2 유도선에 위치하도록 푸쉬백한다. * R7 이동 항공기 및 23번 주기장 진출입 영향 없도록 푸쉬백,The aircraft shall be pushed back to face north until its body is on taxilane R2. * The aircraft is pushed back so as not to affect aircraft moving on taxilane R7 or aircraft entering and leaving gate 23.,,aip+tr,AMDT 7/26,review,
21:2,21,Pushback Approved to Face East on R7,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다. * R2 유도선 개방,The aircraft shall be pushed back onto taxilane R7 to face east. * Keep taxilane R2 clear.,,aip+tr,AMDT 7/26,review,
21:3,21,Pushback Approved to Face West on R7,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다. * R2 유도선 개방,The aircraft shall be pushed back onto taxilane R7 to face west. * Keep taxilane R2 clear.,,aip+tr,AMDT 7/26,review,
22:0,22,Pushback Approved to Blue,항공기 기수방향이 북쪽을 향하게 하고 blue Line까지 후방견인하여 Nose Gear가 R2 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at R2.,,aip,AMDT 7/26,review,
22:1,22,Pushback Approved to Point 2,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R2 유도선을 따라 견인하여 Nose Gear를 Point 2에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 2.,,aip,AMDT 7/26,review,
23:0,23,Pushback Approved to Point 2,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R2 유도선을 따라 견인하여 Nose Gear를 Point 2에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 2.,,aip,AMDT 7/26,review,
23:1,23,Pushback Approved to Point 3,"항공기 기수방향이 남쪽을 향하게 하여 Blue Line을 따라 후방견인하여 Nose Gear는 Point 3에, 동체는 blue line에 정대시킨다.",The aircraft shall be pushed back to face south along blue line until its nosewheel is at spot 3.,,aip,AMDT 7/26,review,
23:2,23,Pushback Approved to Face South on R2 (abeam Gate No.),항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R2 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R2 until the specific gate number.,,aip,AMDT 7/26,review,
24:0,24,Pushback Approved to Point 2,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R2 유도선을 따라 견인하여 Nose Gear를 Point 2에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 2.,,aip,AMDT 7/26,review,
24:1,24,Pushback Approved to Point 3,"항공기 기수방향이 남쪽을 향하게 하여 Blue Line을 따라 후방견인하여 Nose Gear는 Point 3에, 동체는 blue line에 정대시킨다.",The aircraft shall be pushed back to face south along blue line until its nosewheel is at spot 3.,,aip,AMDT 7/26,review,
24:2,24,Pushback Approved to Face South on R2 (abeam Gate No.),항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R2 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R2 until the specific gate number.,,aip,AMDT 7/26,review,
26:0,26,Pushback Approved to Point 2,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R2 유도선을 따라 견인하여 Nose Gear를 Point 2에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 2.,,aip,AMDT 7/26,review,
26:1,26,Pushback Approved to Point 3,"항공기 기수방향이 남쪽을 향하게 하여 Blue Line을 따라 후방견인하여 Nose Gear는 Point 3에, 동체는 blue line에 정대시킨다.",The aircraft shall be pushed back to face south along blue line until its nosewheel is at spot 3.,,aip,AMDT 7/26,review,
26:2,26,Pushback Approved to Face South on R2 (abeam Gate No.),항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R2 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R2 until the specific gate number.,,aip,AMDT 7/26,review,
27:0,27,Pushback Approved to Point 2,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R2 유도선을 따라 견인하여 Nose Gear를 Point 2에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 2.,,aip,AMDT 7/26,review,
27:1,27,Pushback Approved to Point 3,"항공기 기수방향이 남쪽을 향하게 하여 Blue Line을 따라 후방견인하여 Nose Gear는 Point 3에, 동체는 blue line에 정대시킨다.",The aircraft shall be pushed back to face south along blue line until its nosewheel is at spot 3.,,aip,AMDT 7/26,review,
27:2,27,Pushback Approved to Point 4,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R3 유도선을 따라 견인하여 Nose Gear를 Point 4에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 4.,,aip,AMDT 7/26,review,
27:3,27,Pushback Approved to Face South on R2 abeam Gate No,항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R2 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R2 until the specific gate number.,,aip,AMDT 7/26,review,
27:4,27,Pushback Approved to Face South on R3 abeam Gate No,항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R3 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R3 until the specific gate number.,,aip,AMDT 7/26,review,
28:0,28,Pushback Approved to Point 3,"항공기 기수방향이 남쪽을 향하게 하여 Blue Line을 따라 후방견인하여 Nose Gear는 Point 3에, 동체는 blue line에 정대시킨다.",The aircraft shall be pushed back to face south along blue line until its nosewheel is at spot 3.,,aip,AMDT 7/26,review,
28:1,28,Pushback Approved to Point 4,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R3 유도선을 따라 견인하여 Nose Gear를 Point 4에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 4.,,aip,AMDT 7/26,review,
28:2,28,Pushback Approved to Face South on R3 (abeam Gate No.),항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R3 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R3 until the specific gate number.,,aip,AMDT 7/26,review,
30:0,30,Pushback Approved to Point 3,"항공기 기수방향이 남쪽을 향하게 하여 Blue Line을 따라 후방견인하여 Nose Gear는 Point 3에, 동체는 blue line에 정대시킨다.",The aircraft shall be pushed back to face south along blue line until its nosewheel is at spot 3.,,aip,AMDT 7/26,review,
30:1,30,Pushback Approved to Point 4,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R3 유도선을 따라 견인하여 Nose Gear를 Point 4에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 4.,,aip,AMDT 7/26,review,
30:2,30,Pushback Approved to Face South on R3 (abeam Gate No.),항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R3 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R3 until the specific gate number.,,aip,AMDT 7/26,review,
31:0,31,Pushback Approved to Point 3,"항공기 기수방향이 남쪽을 향하게 하여 Blue Line을 따라 후방견인하여 Nose Gear는 Point 3에, 동체는 blue line에 정대시킨다.",The aircraft shall be pushed back to face south along blue line until its nosewheel is at spot 3.,,aip,AMDT 7/26,review,
31:1,31,Pushback Approved to Point 4,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R3 유도선을 따라 견인하여 Nose Gear를 Point 4에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 4.,,aip,AMDT 7/26,review,
31:2,31,Pushback Approved to Face South on R3 (abeam Gate No.),항공기를 후방견인한 후 기수방향을 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R3 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R3 until the specific gate number.,,aip,AMDT 7/26,review,
32:0,32,Pushback Approved to Blue,항공기 기수방향이 북쪽을 향하게 하고 blue Line까지 후방견인하여 Nose Gear가 R3 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at R3.,,aip,AMDT 7/26,review,
32:1,32,Pushback Approved to Point 4,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R3 유도선을 따라 견인하여 Nose Gear를 Point 4에 정대시킨다.,The aircraft shall be pushed back to face north and then towed forward until its nosewheel is at spot 4.,,aip,AMDT 7/26,review,
33:0,33,Pushback Approved to Blue,항공기 기수방향이 북쪽을 향하게 하고 blue Line까지 후방견인하여 Nose Gear가 R3 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at R3.,,aip,AMDT 7/26,review,
33:1,33,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear가 R3 유도선에 위치하도록 푸쉬백한다. * R7 이동 항공기 및 32번 주기장 진출입 영향 없도록 푸쉬백,The aircraft shall be pushed back to face north until its body is on taxilane R3. * The aircraft is pushed back so as not to affect aircraft moving on taxilane R7 or aircraft entering and leaving gate 32.,,aip+tr,AMDT 7/26,review,
33:2,33,Pushback Approved to Face East on R7,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다. * R3 유도선 개방,The aircraft shall be pushed back onto taxilane R7 to face east. * Keep taxilane R3 clear.,,aip+tr,AMDT 7/26,review,
33:3,33,Pushback Approved to Face West on R7,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다. * R3 유도선 개방,The aircraft shall be pushed back onto taxilane R7 to face west. * Keep taxilane R3 clear.,,aip+tr,AMDT 7/26,review,
34:0,34,Pushback Approved to Face East,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다. * R3 유도선 개방,The aircraft shall be pushed back onto taxilane R7 to face east. * Keep taxilane R3 clear.,,aip+tr,AMDT 7/26,review,
34:1,34,Pushback Approved to Face West,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face west.,,aip,AMDT 7/26,review,
34:2,34,Pushback Approved to Point 4,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R3 유도선을 따라 견인하여 Nose Gear를 Point 4에 정대시킨다,The aircraft shall be pushed back to face north along taxilane R3 until its nosewheel is at spot 4.,,aip,AMDT 7/26,review,
35:0,35,Pushback Approved to Face East,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face east.,,aip,AMDT 7/26,review,
35:1,35,Pushback Approved to Face West,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face west.,,aip,AMDT 7/26,review,
35:2,35,Pushback Approved to Point 4,항공기를 후방견인한 후 기수방향을 북쪽으로 향하게 하고 R3 유도선을 따라 견인하여 Nose Gear를 Spot 4에 정대시킨다,The aircraft shall be pushed back to face north along taxilane R3 until its nosewheel is at spot 4.,,aip,AMDT 7/26,review,
35:3,35,Pushback Approved to Face North on R4 abeam Gate No,항공기 기수방향이 북쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along taxilane R4 until the specific gate position.,,aip,AMDT 7/26,review,
36:0,36,Pushback Approved to Face East,항공기 기수방향이 동쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다. 이때 R4유도로는 사용가능 하도록 푸쉬백한다. * R4 유도선 개방,The aircraft shall be pushed back onto taxilane R7 to face east. * Keep taxilane R4 clear.,,aip+tr,AMDT 7/26,review,
36:1,36,Pushback Approved to Face West,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face west.,,aip,AMDT 7/26,review,
36:2,36,Pushback Approved to Face North on R4 abeam Gate No,항공기 기수방향이 북쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인 하여 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face north along taxilane R4 until the specific gate position.,,aip,AMDT 7/26,review,
37:0,37,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R4 to face north.,,aip,AMDT 7/26,review,
37:1,37,Pushback Approved to Face West on R7,항공기 기수방향이 서쪽을 향하게 하고 Nose Gear 및 동체가 R7 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R7 to face west.,,aip,AMDT 7/26,review,
37:2,37,Pushback Approved to Face North on R6,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R6 유도선에 위치하도록 푸쉬백한다. * R7 입출항 항공기와 분리,The aircraft shall be pushed back onto taxilane R6 to face north. * The aircraft remains separated from aircraft entering and leaving on taxilane R7.,,aip+tr,AMDT 7/26,review,
38:0,38,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R4 to face south.,,aip,AMDT 7/26,review,
38:1,38,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R4 to face north.,,aip,AMDT 7/26,review,
39:0,39,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R4 to face south.,,aip,AMDT 7/26,review,
39:1,39,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다. * 주기장 39번은 항공기 후면 후류 영향이 없도록 Blue Line을 따라 푸쉬백,"The aircraft shall be pushed back to face north along blue line until its nosewheel is at R4. * At gate 39, the aircraft is pushed back along blue line to minimize jet blast effect behind the aircraft.",,aip+tr,AMDT 7/26,review,
40:0,40,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R4 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R4 to face south.,,aip,AMDT 7/26,review,
